District,STATE,TEHSIL,Shape_Leng,Shape_Area,MED_DESCRI,RTT_DESCRI,F_CODE_DES,ISO,ISOCOUNTRY,District_2,STATE_2,TEHSIL_2,Shape_Le_1,Shape_Ar_1,RoadLength,RoadDensit
P>LAKK>D,KERALA,PATT>MBI,121650.73941400000,376983297.06699997187,Without Median,Primary Route,Road,IND,INDIA,P>LAKK>D,KERALA,PATT>MBI,121650.73941400000,376983297.06699997187,13258.119,0.035
KOLLAM,KERALA,PATTAN>PURAM,128665.13107900000,267205384.11300000548,Without Median,Secondary Route,Road,IND,INDIA,KOLLAM,KERALA,PATTAN>PURAM,128665.13107900000,267205384.11300000548,21461.219,0.080
KANN@R,KERALA,PAYYANN@R,162368.56932800001,507758531.94700002670,Without Median,Primary Route,Road,IND,INDIA,KANN@R,KERALA,PAYYANN@R,162368.56932800001,507758531.94700002670,197.875,0.000
MALAPPURAM,KERALA,PERINTALMANNA,174980.66034999999,511081839.53500002623,Without Median,Secondary Route,Road,IND,INDIA,MALAPPURAM,KERALA,PERINTALMANNA,174980.66034999999,511081839.53500002623,7110.621,0.014
MALAPPURAM,KERALA,PONN>NI,76496.21344250000,204157117.33599996567,Without Median,Secondary Route,Road,IND,INDIA,MALAPPURAM,KERALA,PONN>NI,76496.21344250000,204157117.33599996567,14297.087,0.070
KOLLAM,KERALA,PUNAL@R,204127.88018499999,997014038.88300001621,Without Median,Secondary Route,Road,IND,INDIA,KOLLAM,KERALA,PUNAL@R,204127.88018499999,997014038.88300001621,15203.873,0.015
PATTANAMTHITTA,KERALA,R>NNI,197390.12392400001,448497177.77600002289,Without Median,Secondary Route,Road,IND,INDIA,PATTANAMTHITTA,KERALA,R>NNI,197390.12392400001,448497177.77600002289,36646.084,0.082
WAYANAD,KERALA,SULT>N BATTERY,171542.21604500001,776226256.95899987221,Without Median,Secondary Route,Road,IND,INDIA,WAYANAD,KERALA,SULT>N BATTERY,171542.21604500001,776226256.95899987221,26366.207,0.034
KOZHIKODE,KERALA,T>MARASSERRY,242389.11249900001,568048623.24100005627,Without Median,Secondary Route,Road,IND,INDIA,KOZHIKODE,KERALA,T>MARASSERRY,242389.11249900001,568048623.24100005627,12446.413,0.022
TRISS@R,KERALA,TALAPPALLI,138650.67973700000,483270383.31999999285,Without Median,Secondary Route,Road,IND,INDIA,TRISS@R,KERALA,TALAPPALLI,138650.67973700000,483270383.31999999285,30078.525,0.062
