District,STATE,TEHSIL,Shape_Leng,Shape_Area,SR_SEX RATIO
TRISS@R,KERALA,KODUNGALLUR,84292.32117260000,205508334.39199998975,1139
KOLLAM,KERALA,KUNNATHUR,75700.72701649999,141972335.23699998856,1103
ERN>KULAM,KERALA,KUNNATHUNAD,137716.74249500001,484449746.64099997282,1012
>LAPPUZHA,KERALA,KUTTANAD,91384.64555630001,311324871.45700001717,1075
KOTTAYAM,KERALA,MEENACHIL,173394.85857499999,689558274.15799999237,1015
WAYANAD,KERALA,MANANTHAVADY,175764.50206299999,745412265.46800005436,1024
>LAPPUZHA,KERALA,MAVELIKKARA,96118.53391380000,237253990.29800000787,1170
PATTANAMTHITTA,KERALA,MALLAPPALLY,86247.13462590000,160478911.27399998903,1105
K>SARAGOD,KERALA,MANJESWARAN,144865.32400100000,383803482.23900002241,1049
P>LAKK>D,KERALA,MANNARKAD,245016.29567200001,1217721608.10999989510,1063
TRISS@R,KERALA,MUKUNDAPURAM,149046.47324799999,435516448.52100008726,1096
ERN>KULAM,KERALA,MUVATTUPUZHA,152176.06776500001,446715861.95099997520,1017
THIRUVANANTHAPURAM,KERALA,NEDUMANGAD,150348.45976200001,840827390.95700001717,1105
THIRUVANANTHAPURAM,KERALA,NEYYATTINKARA,126299.23202300000,284320417.94300001860,1041
MALAPPURAM,KERALA,NILAMBUR,218644.29444600001,1385550070.24000000954,1096
P>LAKK>D,KERALA,OTTAPPALAM,132942.48610200000,479397370.10799998045,1102
IDUKKI,KERALA,PEERUMADE,298497.65571700002,1337022133.19000005722,1010
P>LAKK>D,KERALA,PALAKKAD,170851.07890800000,723530052.34300005436,1048
ERN>KULAM,KERALA,PARAVUR,76791.30572670000,195295055.29500001669,1047
P>LAKK>D,KERALA,PATTAMBI,121650.73941400000,376983297.06699997187,1102
KOLLAM,KERALA,PATHANAPURAM,128665.13107900000,267205384.11300000548,1125
KANN@R,KERALA,PAYYANUR,162368.56932800001,507758531.94700002670,1091
MALAPPURAM,KERALA,PERINTHALMANNA,174980.66034999999,511081839.53500002623,1104
MALAPPURAM,KERALA,PONNANI,76496.21344250000,204157117.33599996567,1147
KOLLAM,KERALA,PUNALUR,204127.88018499999,997014038.88300001621,1125
PATTANAMTHITTA,KERALA,RANNI,197390.12392400001,448497177.77600002289,1091
WAYANAD,KERALA,SULTHANBATHERY,171542.21604500001,776226256.95899987221,1029
KOZHIKODE,KERALA,THAMARASSERY,242389.11249900001,568048623.24100005627,1074
TRISS@R,KERALA,TALAPPILLY,138650.67973700000,483270383.31999999285,1100
KANN@R,KERALA,THALASSERY,215536.09747099999,590156712.91799998283,1136
KANN@R,KERALA,TALIPARAMBA,199035.79648799999,833382104.66700005531,1091
MALAPPURAM,KERALA,TIRUR,145593.95953299999,456464150.53700000048,1129
MALAPPURAM,KERALA,TIRURANGADI,115367.48100400000,261846953.95600000024,1090
PATTANAMTHITTA,KERALA,THIRUVALLA,99671.56113870000,170861805.99200001359,1145
THIRUVANANTHAPURAM,KERALA,THIRUVANANTHAPURAM,112260.13681600000,323713793.56800001860,1058
IDUKKI,KERALA,THODUPUZHA,139186.84362100001,543208919.48099994659,1012
TRISS@R,KERALA,THRISSUR,162226.48102300000,671658294.02400004864,1076
IDUKKI,KERALA,UDUMBANCHOLA,184429.52302600001,588909979.96099996567,1005
KOZHIKODE,KERALA,VADAKARA,152085.99610300001,579707013.82200002670,1134
KOTTAYAM,KERALA,VAIKOM,98292.83761350000,327082387.22100001574,1035
WAYANAD,KERALA,VYTHIRI,166868.10710900000,620793109.70500004292,1053
THIRUVANANTHAPURAM,KERALA,VARKALA,87766.61400700000,171818320.66600000858,1195
K>SARAGOD,KERALA,VELLARIKUNDU,161251.01439100000,544356835.23500001431,1115
