District,STATE,TEHSIL,Shape_Leng,Shape_Area,LiteracyRateData_LITERACY RATE
P>LAKK>D,KERALA,PALAKKAD,170851.07890800000,723530052.34300005436,89.5
ERN>KULAM,KERALA,PARAVUR,76791.30572670000,195295055.29500001669,95.9
P>LAKK>D,KERALA,PATTAMBI,121650.73941400000,376983297.06699997187,93.4
KOLLAM,KERALA,PATHANAPURAM,128665.13107900000,267205384.11300000548,93.6
KANN@R,KERALA,PAYYANUR,162368.56932800001,507758531.94700002670,93.9
MALAPPURAM,KERALA,PERINTHALMANNA,174980.66034999999,511081839.53500002623,94.3
MALAPPURAM,KERALA,PONNANI,76496.21344250000,204157117.33599996567,92.5
KOLLAM,KERALA,PUNALUR,204127.88018499999,997014038.88300001621,93.6
PATTANAMTHITTA,KERALA,RANNI,197390.12392400001,448497177.77600002289,96.8
WAYANAD,KERALA,SULTHANBATHERY,171542.21604500001,776226256.95899987221,89.4
KOZHIKODE,KERALA,THAMARASSERY,242389.11249900001,568048623.24100005627,96
TRISS@R,KERALA,TALAPPILLY,138650.67973700000,483270383.31999999285,93.1
KANN@R,KERALA,THALASSERY,215536.09747099999,590156712.91799998283,95.4
KANN@R,KERALA,TALIPARAMBA,199035.79648799999,833382104.66700005531,93.9
MALAPPURAM,KERALA,TIRUR,145593.95953299999,456464150.53700000048,93.2
MALAPPURAM,KERALA,TIRURANGADI,115367.48100400000,261846953.95600000024,93.7
PATTANAMTHITTA,KERALA,THIRUVALLA,99671.56113870000,170861805.99200001359,97.5
THIRUVANANTHAPURAM,KERALA,THIRUVANANTHAPURAM,112260.13681600000,323713793.56800001860,94.7
IDUKKI,KERALA,THODUPUZHA,139186.84362100001,543208919.48099994659,95.6
TRISS@R,KERALA,THRISSUR,162226.48102300000,671658294.02400004864,96.1
IDUKKI,KERALA,UDUMBANCHOLA,184429.52302600001,588909979.96099996567,92.5
KOZHIKODE,KERALA,VADAKARA,152085.99610300001,579707013.82200002670,93.6
KOTTAYAM,KERALA,VAIKOM,98292.83761350000,327082387.22100001574,96.1
WAYANAD,KERALA,VYTHIRI,166868.10710900000,620793109.70500004292,89.1
THIRUVANANTHAPURAM,KERALA,VARKALA,87766.61400700000,171818320.66600000858,92.8
K>SARAGOD,KERALA,VELLARIKUNDU,161251.01439100000,544356835.23500001431,90.8
